17-09-17-13-44-24-280-a4-m5-v0.25-n0:		1649 3058 4163 5652 7349 9174 10567 11880 14025 14826 16939 
17-09-17-13-44-24-858-a4-m5-v0.25-n0:		1425 2834 3635 4756 7029 9286 10327 11416 13817 16218 17563 
17-09-17-13-44-25-030-a4-m5-v0.25-n0:		2337 4002 5427 7316 9173 10038 11079 13080 14169 15498 16923 
17-09-17-13-44-25-171-a4-m5-v0.25-n0:		2193 3042 5107 6708 7829 9830 10695 13096 14873 16730 17755 
17-09-17-13-44-25-315-a4-m5-v0.25-n0:		1649 3090 5203 6260 7605 9894 11815 12888 14585 16666 17915 
17-09-17-13-44-25-502-a4-m5-v0.25-n0.01:	817 2514 4547 6244 7301 9126 11495 12840 14569 15818 18011 
17-09-17-13-44-25-643-a4-m5-v0.25-n0.01:	801 2050 2851 4676 6453 8806 10343 12280 13721 15466 17483 
17-09-17-13-44-25-768-a4-m5-v0.25-n0.01:	897 2098 3875 5364 7285 8902 10071 12216 13705 15626 17675 
17-09-17-13-44-25-908-a4-m5-v0.25-n0.01:	1409 2418 4659 5972 7397 9446 10503 12744 14409 15274 17195 
17-09-17-13-44-26-033-a4-m5-v0.25-n0.01:	1073 2594 4771 6228 8549 10406 11847 12792 14985 16122 17515 
